picocom -b 115200 /dev/ttyUSB0
picocom v3.1

port is        : /dev/ttyUSB0
flowcontrol    : none
baudrate is    : 115200
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
ATTRIBUTE RD addr 58B5 data 38
ATTRIBUTE WR addr 58B6 data 38
ATTRIBUTE RD addr 58B6 data 38
ATTRIBUTE WR addr 58B7 data 38
ATTRIBUTE RD addr 58B7 data 38
ATTRIBUTE WR addr 58B8 data 38
ATTRIBUTE RD addr 58B8 data 38
ATTRIBUTE WR addr 58B9 data 38
ATTRIBUTE RD addr 58B9 data 38
ATTRIBUTE WR addr 58BA data 38
ATTRIBUTE RD addr 58BA data 38
ATTRIBUTE WR addr 58BB data 38
ATTRIBUTE RD addr 58BB data 38
ATTRIBUTE WR addr 58BC data 38
ATTRIBUTE RD addr 58BC data 38
ATTRIBUTE WR addr 58BD data 38
ATTRIBUTE RD addr 58BD data 38
ATTRIBUTE WR addr 58BE data 38
ATTRIBUTE RD addr 58BE data 38
ATTRIBUTE WR addr 58BF data 38
ATTRIBUTE RD addr 58BF data 38
ATTRIBUTE WR addr 58C0 data 38
ATTRIBUTE RD addr 58C0 data 38
ATTRIBUTE WR addr 58C1 data 38
ATTRIBUTE RD addr 58C1 data 38
ATTRIBUTE WR addr 58C2 data 38
ATTRIBUTE RD addr 58C2 data 38
ATTRIBUTE WR addr 58C3 data 38
ATTRIBUTE RD addr 58C3 data 38
ATTRIBUTE WR addr 58C4 data 38
ATTRIBUTE RD addr 58C4 data 38
ATTRIBUTE WR addr 58C5 data 38
ATTRIBUTE RD addr 58C5 data 38
ATTRIBUTE WR addr 58C6 data 38
ATTRIBUTE RD addr 58C6 data 38
ATTRIBUTE WR addr 58C7 data 38
ATTRIBUTE RD addr 58C7 data 38
ATTRIBUTE WR addr 58C8 data 38
ATTRIBUTE RD addr 58C8 data 38
ATTRIBUTE WR addr 58C9 data 38
ATTRIBUTE RD addr 58C9 data 38
ATTRIBUTE WR addr 58CA data 38
ATTRIBUTE RD addr 58CA data 38
ATTRIBUTE WR addr 58CB data 38
ATTRIBUTE RD addr 58CB data 38
ATTRIBUTE WR addr 58CC data 38
ATTRIBUTE RD addr 58CC data 38
ATTRIBUTE WR addr 58CD data 38
ATTRIBUTE RD addr 58CD data 38
ATTRIBUTE WR addr 58CE data 38
ATTRIBUTE RD addr 58CE data 38
ATTRIBUTE WR addr 58CF data 38
ATTRIBUTE RD addr 58CF data 38
ATTRIBUTE WR addr 58D0 data 38
ATTRIBUTE RD addr 58D0 data 38
ATTRIBUTE WR addr 58D1 data 38
ATTRIBUTE RD addr 58D1 data 38
ATTRIBUTE WR addr 58D2 data 38
ATTRIBUTE RD addr 58D2 data 38
ATTRIBUTE WR addr 58D3 data 38
ATTRIBUTE RD addr 58D3 data 38
ATTRIBUTE WR addr 58D4 data 38
ATTRIBUTE RD addr 58D4 data 38
ATTRIBUTE WR addr 58D5 data 38
ATTRIBUTE RD addr 58D5 data 38
ATTRIBUTE WR addr 58D6 data 38
ATTRIBUTE RD addr 58D6 data 38
ATTRIBUTE WR addr 58D7 data 38
ATTRIBUTE RD addr 58D7 data 38
ATTRIBUTE WR addr 58D8 data 38
ATTRIBUTE RD addr 58D8 data 38
ATTRIBUTE WR addr 58D9 data 38
ATTRIBUTE RD addr 58D9 data 38
ATTRIBUTE WR addr 58DA data 38
ATTRIBUTE RD addr 58DA data 38
ATTRIBUTE WR addr 58DB data 38
ATTRIBUTE RD addr 58DB data 38
ATTRIBUTE WR addr 58DC data 38
ATTRIBUTE RD addr 58DC data 38
ATTRIBUTE WR addr 58DD data 38
ATTRIBUTE RD addr 58DD data 38
ATTRIBUTE WR addr 58DE data 38
ATTRIBUTE RD addr 58DE data 38
ATTRIBUTE WR addr 58DF data 38
ATTRIBUTE RD addr 58DF data 38
ATTRIBUTE WR addr 58E0 data 38
ATTRIBUTE RD addr 58E0 data 38
ATTRIBUTE WR addr 58E1 data 38
ATTRIBUTE RD addr 58E1 data 38
ATTRIBUTE WR addr 58E2 data 38
ATTRIBUTE RD addr 58E2 data 38
ATTRIBUTE WR addr 58E3 data 38
ATTRIBUTE RD addr 58E3 data 38
ATTRIBUTE WR addr 58E4 data 38
ATTRIBUTE RD addr 58E4 data 38
ATTRIBUTE WR addr 58E5 data 38
ATTRIBUTE RD addr 58E5 data 38
ATTRIBUTE WR addr 58E6 data 38
ATTRIBUTE RD addr 58E6 data 38
ATTRIBUTE WR addr 58E7 data 38
ATTRIBUTE RD addr 58E7 data 38
ATTRIBUTE WR addr 58E8 data 38
ATTRIBUTE RD addr 58E8 data 38
ATTRIBUTE WR addr 58E9 data 38
ATTRIBUTE RD addr 58E9 data 38
ATTRIBUTE WR addr 58EA data 38
ATTRIBUTE RD addr 58EA data 38
ATTRIBUTE WR addr 58EB data 38
ATTRIBUTE RD addr 58EB data 38
ATTRIBUTE WR addr 58EC data 38
ATTRIBUTE RD addr 58EC data 38
ATTRIBUTE WR addr 58ED data 38
ATTRIBUTE RD addr 58ED data 38
ATTRIBUTE WR addr 58EE data 38
ATTRIBUTE RD addr 58EE data 38
ATTRIBUTE WR addr 58EF data 38
ATTRIBUTE RD addr 58EF data 38
ATTRIBUTE WR addr 58F0 data 38
ATTRIBUTE RD addr 58F0 data 38
ATTRIBUTE WR addr 58F1 data 38
ATTRIBUTE RD addr 58F1 data 38
ATTRIBUTE WR addr 58F2 data 38
ATTRIBUTE RD addr 58F2 data 38
ATTRIBUTE WR addr 58F3 data 38
ATTRIBUTE RD addr 58F3 data 38
ATTRIBUTE WR addr 58F4 data 38
ATTRIBUTE RD addr 58F4 data 38
ATTRIBUTE WR addr 58F5 data 38
ATTRIBUTE RD addr 58F5 data 38
ATTRIBUTE WR addr 58F6 data 38
ATTRIBUTE RD addr 58F6 data 38
ATTRIBUTE WR addr 58F7 data 38
ATTRIBUTE RD addr 58F7 data 38
ATTRIBUTE WR addr 58F8 data 38
ATTRIBUTE RD addr 58F8 data 38
ATTRIBUTE WR addr 58F9 data 38
ATTRIBUTE RD addr 58F9 data 38
ATTRIBUTE WR addr 58FA data 38
ATTRIBUTE RD addr 58FA data 38
ATTRIBUTE WR addr 58FB data 38
ATTRIBUTE RD addr 58FB data 38
ATTRIBUTE WR addr 58FC data 38
ATTRIBUTE RD addr 58FC data 38
ATTRIBUTE WR addr 58FD data 38
ATTRIBUTE RD addr 58FD data 38
ATTRIBUTE WR addr 58FE data 38
ATTRIBUTE RD addr 58FE data 38
ATTRIBUTE WR addr 58FF data 38
ATTRIBUTE RD addr 58FF data 38
ATTRIBUTE WR addr 5900 data 38
ATTRIBUTE RD addr 5900 data 38
ATTRIBUTE WR addr 5901 data 38
ATTRIBUTE RD addr 5901 data 38
ATTRIBUTE WR addr 5902 data 38
ATTRIBUTE RD addr 5902 data 38
ATTRIBUTE WR addr 5903 data 38
ATTRIBUTE RD addr 5903 data 38
ATTRIBUTE WR addr 5904 data 38
ATTRIBUTE RD addr 5904 data 38
ATTRIBUTE WR addr 5905 data 38
ATTRIBUTE RD addr 5905 data 38
ATTRIBUTE WR addr 5906 data 38
ATTRIBUTE RD addr 5906 data 38
ATTRIBUTE WR addr 5907 data 38
ATTRIBUTE RD addr 5907 data 38
ATTRIBUTE WR addr 5908 data 38
ATTRIBUTE RD addr 5908 data 38
ATTRIBUTE WR addr 5909 data 38
ATTRIBUTE RD addr 5909 data 38
ATTRIBUTE WR addr 590A data 38
ATTRIBUTE RD addr 590A data 38
ATTRIBUTE WR addr 590B data 38
ATTRIBUTE RD addr 590B data 38
ATTRIBUTE WR addr 590C data 38
ATTRIBUTE RD addr 590C data 38
ATTRIBUTE WR addr 590D data 38
ATTRIBUTE RD addr 590D data 38
ATTRIBUTE WR addr 590E data 38
ATTRIBUTE RD addr 590E data 38
ATTRIBUTE WR addr 590F data 38
ATTRIBUTE RD addr 590F data 38
ATTRIBUTE WR addr 5910 data 38
ATTRIBUTE RD addr 5910 data 38
ATTRIBUTE WR addr 5911 data 38
ATTRIBUTE RD addr 5911 data 38
ATTRIBUTE WR addr 5912 data 38
ATTRIBUTE RD addr 5912 data 38
ATTRIBUTE WR addr 5913 data 38
ATTRIBUTE RD addr 5913 data 38
ATTRIBUTE WR addr 5914 data 38
ATTRIBUTE RD addr 5914 data 38
ATTRIBUTE WR addr 5915 data 38
ATTRIBUTE RD addr 5915 data 38
ATTRIBUTE WR addr 5916 data 38
ATTRIBUTE RD addr 5916 data 38
ATTRIBUTE WR addr 5917 data 38
ATTRIBUTE RD addr 5917 data 38
ATTRIBUTE WR addr 5918 data 38
ATTRIBUTE RD addr 5918 data 38
ATTRIBUTE WR addr 5919 data 38
ATTRIBUTE RD addr 5919 data 38
ATTRIBUTE WR addr 591A data 38
ATTRIBUTE RD addr 591A data 38
ATTRIBUTE WR addr 591B data 38
ATTRIBUTE RD addr 591B data 38
ATTRIBUTE WR addr 591C data 38
ATTRIBUTE RD addr 591C data 38
ATTRIBUTE WR addr 591D data 38
ATTRIBUTE RD addr 591D data 38
ATTRIBUTE WR addr 591E data 38
ATTRIBUTE RD addr 591E data 38
ATTRIBUTE WR addr 591F data 38
ATTRIBUTE RD addr 591F data 38
ATTRIBUTE WR addr 5920 data 38
ATTRIBUTE RD addr 5920 data 38
ATTRIBUTE WR addr 5921 data 38
ATTRIBUTE RD addr 5921 data 38
ATTRIBUTE WR addr 5922 data 38
ATTRIBUTE RD addr 5922 data 38
ATTRIBUTE WR addr 5923 data 38
ATTRIBUTE RD addr 5923 data 38
ATTRIBUTE WR addr 5924 data 38
ATTRIBUTE RD addr 5924 data 38
ATTRIBUTE WR addr 5925 data 38
ATTRIBUTE RD addr 5925 data 38
ATTRIBUTE WR addr 5926 data 38
ATTRIBUTE RD addr 5926 data 38
ATTRIBUTE WR addr 5927 data 38
ATTRIBUTE RD addr 5927 data 38
ATTRIBUTE WR addr 5928 data 38
ATTRIBUTE RD addr 5928 data 38
ATTRIBUTE WR addr 5929 data 38
ATTRIBUTE RD addr 5929 data 38
ATTRIBUTE WR addr 592A data 38
ATTRIBUTE RD addr 592A data 38
ATTRIBUTE WR addr 592B data 38
ATTRIBUTE RD addr 592B data 38
ATTRIBUTE WR addr 592C data 38
ATTRIBUTE RD addr 592C data 38
ATTRIBUTE WR addr 592D data 38
ATTRIBUTE RD addr 592D data 38
ATTRIBUTE WR addr 592E data 38
ATTRIBUTE RD addr 592E data 38
ATTRIBUTE WR addr 592F data 38
ATTRIBUTE RD addr 592F data 38
ATTRIBUTE WR addr 5930 data 38
ATTRIBUTE RD addr 5930 data 38
ATTRIBUTE WR addr 5931 data 38
ATTRIBUTE RD addr 5931 data 38
ATTRIBUTE WR addr 5932 data 38
ATTRIBUTE RD addr 5932 data 38
ATTRIBUTE WR addr 5933 data 38
ATTRIBUTE RD addr 5933 data 38
ATTRIBUTE WR addr 5934 data 38
ATTRIBUTE RD addr 5934 data 38
ATTRIBUTE WR addr 5935 data 38
ATTRIBUTE RD addr 5935 data 38
ATTRIBUTE WR addr 5936 data 38
ATTRIBUTE RD addr 5936 data 38
